University,CC,Values
CSUB,College of Alameda,2
CSUB,Copper Mountain College,6
CSUB,De Anza College,6
CSUB,Diablo Valley College,6
CSUB,East Los Angeles College,8
CSUB,Taft College,5
CSUB,Antelope Valley College,8
CSUB,Feather River College,5
CSUB,Hartnell College,6
CSUB,Irvine Valley College,8
CSUB,Porterville College,4
CSUB,Sacramento City College,6
CSUB,Skyline College,6
CSUB,Los Angeles Southwest College,6
CSUB,San Bernardino Valley College,7
CSUB,Monterey Peninsula College,6
CSUB,Fullerton College,2
CSUB,Long Beach City College,5
CSUB,San Jose City College,3
CSUB,Santa Monica College,6
CSUB,Southwestern College,8
CSUB,Moorpark College,5
CSUB,College of the Canyons,8
CSUB,Cosumnes River College,6
CSUB,Folsom Lake College,4
CSUB,West Hills College Lemoore,2
CSUB,Woodland Community College,2
CSUB,Norco College,5
CSUB,Moreno Valley College,6
CSUB,Clovis Community College,6
CSUB,Compton College,0
CSUSB,Cerro Coso Community College,8
CSUSB,Victor Valley College,8
CSUSB,Barstow Community College,7
CSUSB,College of the Desert,8
CSUSB,Glendale Community College,8
CSUSB,Pasadena City College,7
CSUSB,Mt. San Jacinto College,8
CSUSB,Golden West College,8
CSUSB,Palomar College,8
CSUSB,Mount San Antonio College,8
CSUSB,Palo Verde College,1
CSUSB,Rio Hondo College,8
CSUSB,Saddleback College,8
CSUSB,Santiago Canyon College,8
CSUSB,Chaffey College,8
CSUSB,Crafton Hills College,8
CSUSB,Cypress College,8
CSUSB,Riverside City College,8
CSUSB,Citrus College,8
CSUSB,Cerritos College,8
CSUSB,Imperial Valley College,8
CSUSB,Allan Hancock College,8
CSUSB,Copper Mountain College,8
CSUSB,Antelope Valley College,8
CSUSB,Irvine Valley College,8
CSUSB,San Bernardino Valley College,8
CSUDH,Evergreen Valley College,7
CSUDH,Los Angeles City College,6
CSUDH,College of Marin,3
CSUDH,College of San Mateo,7
CSUDH,College of the Sequoias,4
CSUDH,Butte College,7
CSUDH,Cerro Coso Community College,7
CSUDH,Columbia College,5
CSUDH,Merritt College,7
CSUDH,Rancho Santiago College,7
CSUDH,Santa Ana College,7
CSUDH,Cuesta College,6
CSUDH,Merced College,7
CSUDH,Las Positas College,7
CSUDH,Victor Valley College,5
CSUDH,Barstow Community College,6
CSUDH,Los Angeles Trade Technical College,3
CSUDH,American River College,7
CSUDH,Contra Costa College,7
CSUDH,College of the Desert,7
CSUDH,Los Angeles Harbor College,6
CSUDH,Mission College,6
CSUDH,City College of San Francisco,6
CSUDH,Compton Community College,5
CSUDH,Fresno City College,7
CSUDH,Kings River College,7
CSUDH,Reedley College,7
CSUDH,Shasta College,7
CSUDH,Lake Tahoe Community College,5
CSUDH,Cabrillo College,7
CSUDH,Glendale Community College,7
CSUDH,Los Angeles Valley College,6
CSUDH,San Diego Miramar College,7
CSUDH,Los Angeles Mission College,7
CSUEB,Evergreen Valley College,7
CSUEB,Los Angeles City College,7
CSUEB,College of Marin,8
CSUEB,College of San Mateo,8
CSUEB,College of the Sequoias,8
CSUEB,Butte College,8
CSUEB,Cerro Coso Community College,3
CSUEB,Columbia College,6
CSUEB,Merritt College,5
CSUEB,Rancho Santiago College,5
CSUEB,Santa Ana College,5
CSUEB,Cuesta College,6
CSUEB,Merced College,8
CSUEB,Las Positas College,9
CSUEB,Victor Valley College,3
CSUEB,Barstow Community College,4
CSUEB,Los Angeles Trade Technical College,4
CSUEB,American River College,8
CSUEB,Contra Costa College,8
CSUEB,College of the Desert,3
CSUEB,Los Angeles Harbor College,5
CSUEB,Mission College,8
CSUEB,City College of San Francisco,6
CSUEB,Compton Community College,3
CSUEB,Fresno City College,8
CSUEB,Reedley College,8
CSUEB,Shasta College,4
CSUEB,Lake Tahoe Community College,3
CSUEB,Cabrillo College,8
CSUEB,Glendale Community College,5
CSUEB,Los Angeles Valley College,5
CSUEB,San Diego Miramar College,4
CSUEB,Los Angeles Mission College,3
CSUEB,Ohlone College,8
CSUEB,Pasadena City College,6
CSUEB,Foothill College,7
CSUEB,Modesto Junior College,8
CSUEB,Mt. San Jacinto College,6
CSUEB,San Diego City College,4
CSUEB,Golden West College,6
CSUEB,Palomar College,7
CSUEB,Santa Rosa Junior College,8
CSUEB,Vista Community College,7
CSUEB,Berkeley City College,7
CSUEB,Los Medanos College,8
CSUEB,Mount San Antonio College,6
CSUEB,Palo Verde College,1
CSUEB,Rio Hondo College,4
CSUEB,Saddleback College,5
CSUEB,Santiago Canyon College,5
CSUEB,West Hills College Coalinga,3
CSUEB,Canada College,8
CSUEB,Chaffey College,6
CSUEB,Crafton Hills College,4
CSUEB,Cypress College,4
CSUEB,Gavilan College,8
CSUEB,Napa Valley College,3
CSUEB,Orange Coast College,6
CSUEB,Laney College,8
CSUEB,Riverside City College,5
CSUEB,West Valley College,8
CSUEB,Lassen Community College,2
CSUEB,College of the Redwoods,3
CSUEB,Bakersfield College,8
CSUEB,Los Angeles Pierce College,4
CSUEB,Oxnard College,3
CSUEB,Yuba College,7
CSUEB,West Los Angeles College,4
CSUEB,Santa Barbara City College,5
CSUEB,Sierra College,8
CSUEB,Solano Community College,8
CSUEB,Ventura College,6
CSUEB,Chabot College,9
CSUEB,Citrus College,4
CSUEB,Cuyamaca College,5
CSUEB,Mendocino College,8
CSUEB,San Diego Mesa College,4
CSUEB,College of the Siskiyous,8
CSUEB,El Camino College,5
CSUEB,Cerritos College,5
CSUEB,Coastline Community College,3
CSUEB,Grossmont College,5
CSUEB,Imperial Valley College,3
CSUEB,MiraCosta College,5
CSUEB,San Joaquin Delta College,8
CSUEB,Allan Hancock College,5
CSUEB,College of Alameda,4
CSUEB,Copper Mountain College,4
CSUEB,De Anza College,3
CSUEB,Diablo Valley College,8
CSUEB,East Los Angeles College,4
CSUEB,Taft College,3
CSUEB,Antelope Valley College,5
CSUEB,Feather River College,3
CSUEB,Hartnell College,8
CSUEB,Irvine Valley College,5
CSUEB,Porterville College,3
CSUEB,Sacramento City College,8
CSUEB,Skyline College,8
CSUEB,Los Angeles Southwest College,4
CSUEB,San Bernardino Valley College,4
CSUEB,Monterey Peninsula College,8
CSUEB,Fullerton College,6
CSUEB,Long Beach City College,6
CSUEB,San Jose City College,7
CSUEB,Santa Monica College,5
CSUEB,Southwestern College,5
CSUEB,Moorpark College,7
CSUEB,College of the Canyons,5
CSUEB,Cosumnes River College,8
CSUEB,Folsom Lake College,8
CSUEB,West Hills College Lemoore,3
CSUEB,Woodland Community College,3
CSUEB,Norco College,5
CSUEB,Moreno Valley College,6
CSUEB,Clovis Community College,3
CSUEB,Compton College,3
CSUStan,Evergreen Valley College,4
CSUStan,Los Angeles City College,1
CSUStan,College of Marin,1
CSUStan,College of San Mateo,2
CSUStan,College of the Sequoias,5
CSUStan,Butte College,3
CSUStan,Cerro Coso Community College,1
CSUStan,Columbia College,5
CSUStan,Merritt College,4
CSUStan,Santa Ana College,2
CSUStan,Cuesta College,6
CSUStan,Merced College,7
CSUStan,Las Positas College,6
CSUStan,Victor Valley College,0
CSUStan,Barstow Community College,0
CSUStan,Los Angeles Trade Technical College,1
CSUStan,American River College,6
CSUStan,Contra Costa College,4
CSUStan,College of the Desert,3
CSUStan,Los Angeles Harbor College,1
CSUStan,Mission College,1
CSUStan,City College of San Francisco,1
CSUStan,Compton Community College,0
CSUStan,Fresno City College,6
CSUStan,Reedley College,5
CSUStan,Shasta College,2
CSUStan,Lake Tahoe Community College,3
CSUStan,Cabrillo College,5
CSUStan,Glendale Community College,3
CSUStan,Los Angeles Valley College,3
CSUStan,San Diego Miramar College,0
CSUStan,Los Angeles Mission College,0
CSUStan,Ohlone College,3
CSUStan,Pasadena City College,5
CSUStan,Foothill College,6
CSUStan,Modesto Junior College,7
CSUStan,Mt. San Jacinto College,3
CSUStan,San Diego City College,3
CSUStan,Golden West College,2
CSUStan,Palomar College,1
CSUStan,Santa Rosa Junior College,7
CSUStan,Berkeley City College,0
CSUStan,Los Medanos College,2
CSUStan,Mount San Antonio College,6
CSUStan,Palo Verde College,0
CSUStan,Rio Hondo College,0
CSUStan,Saddleback College,1
CSUStan,Santiago Canyon College,1
CSUStan,West Hills College Coalinga,2
CSUStan,Canada College,1
CSUStan,Chaffey College,3
CSUStan,Crafton Hills College,1
CSUStan,Cypress College,3
CSUStan,Gavilan College,4
CSUStan,Napa Valley College,2
CSUStan,Orange Coast College,0
CSUStan,Laney College,4
CSUStan,Riverside City College,0
CSUStan,West Valley College,4
CSUStan,Lassen Community College,2
CSUStan,College of the Redwoods,3
CSUStan,Bakersfield College,3
CSUStan,Los Angeles Pierce College,3
CSUStan,Oxnard College,2
CSUStan,Yuba College,2
CSUStan,West Los Angeles College,2
CSUStan,Santa Barbara City College,7
CSUStan,Sierra College,3
CSUStan,Solano Community College,2
CSUStan,Ventura College,1
CSUStan,Chabot College,5
CSUStan,Citrus College,3
CSUStan,Cuyamaca College,3
CSUStan,Mendocino College,1
CSUStan,San Diego Mesa College,2
CSUStan,College of the Siskiyous,3
CSUStan,El Camino College,1
CSUStan,Cerritos College,1
CSUStan,Coastline Community College,1
CSUStan,Grossmont College,1
CSUStan,Imperial Valley College,2
CSUStan,MiraCosta College,1
CSUStan,San Joaquin Delta College,7
CSUStan,Allan Hancock College,5
CSUStan,College of Alameda,2
CSUStan,Copper Mountain College,1
CSUStan,De Anza College,2
CSUStan,Diablo Valley College,3
CSUStan,East Los Angeles College,2
CSUStan,Taft College,1
CSUStan,Antelope Valley College,2
CSUStan,Feather River College,2
CSUStan,Hartnell College,5
CSUStan,Irvine Valley College,3
CSUStan,Porterville College,2
CSUStan,Sacramento City College,5
CSUStan,Skyline College,0
CSUStan,Los Angeles Southwest College,0
CSUStan,San Bernardino Valley College,1
CSUStan,Monterey Peninsula College,6
CSUStan,Fullerton College,2
CSUStan,Long Beach City College,1
CSUStan,San Jose City College,4
CSUStan,Santa Monica College,2
CSUStan,Southwestern College,2
CSUStan,Moorpark College,5
CSUStan,College of the Canyons,2
CSUStan,Cosumnes River College,6
CSUStan,Folsom Lake College,6
CSUStan,West Hills College Lemoore,1
CSUStan,Woodland Community College,2
CSUStan,Norco College,0
CSUStan,Moreno Valley College,1
CSUStan,Clovis Community College,0
CSUS,Evergreen Valley College,7
CSUS,Los Angeles City College,2
CSUS,College of Marin,4
CSUS,College of San Mateo,7
CSUS,College of the Sequoias,5
CSUS,Butte College,8
CSUS,Cerro Coso Community College,4
CSUS,Columbia College,5
CSUS,Merritt College,3
CSUS,Santa Ana College,2
CSUS,Cuesta College,7
CSUS,Merced College,6
CSUS,Las Positas College,9
CSUS,Victor Valley College,4
CSUS,Barstow Community College,2
CSUS,Los Angeles Trade Technical College,0
CSUS,American River College,8
CSUS,Contra Costa College,8
CSUS,College of the Desert,1
CSUS,Los Angeles Harbor College,0
CSUS,Mission College,4
CSUS,City College of San Francisco,3
CSUS,Fresno City College,6
CSUS,Reedley College,3
CSUS,Shasta College,6
CSUS,Lake Tahoe Community College,6
CSUS,Cabrillo College,8
CSUS,Glendale Community College,4
CSUS,Los Angeles Valley College,1
CSUS,San Diego Miramar College,5
CSUS,Los Angeles Mission College,0
CSUS,Ohlone College,5
CSUS,Pasadena City College,4
CSUS,Foothill College,7
CSUS,Modesto Junior College,8
CSUS,Mt. San Jacinto College,0
CSUS,San Diego City College,5
CSUS,Golden West College,4
CSUS,Palomar College,4
CSUS,Santa Rosa Junior College,9
CSUS,Berkeley City College,3
CSUS,Los Medanos College,5
CSUS,Mount San Antonio College,6
CSUS,Palo Verde College,0
CSUS,Rio Hondo College,0
CSUS,Saddleback College,5
CSUS,Santiago Canyon College,3
CSUS,West Hills College Coalinga,3
CSUS,Canada College,7
CSUS,Chaffey College,3
CSUS,Crafton Hills College,1
CSUS,Cypress College,3
CSUS,Gavilan College,6
CSUS,Napa Valley College,6
CSUS,Orange Coast College,0
CSUS,Laney College,4
CSUS,Riverside City College,3
CSUS,West Valley College,8
CSUS,Lassen Community College,2
CSUS,College of the Redwoods,4
CSUS,Bakersfield College,4
CSUS,Los Angeles Pierce College,1
CSUS,Oxnard College,3
CSUS,Yuba College,7
CSUS,West Los Angeles College,0
CSUS,Santa Barbara City College,7
CSUS,Sierra College,9
CSUS,Solano Community College,8
CSUS,Ventura College,7
CSUS,Chabot College,9
CSUS,Citrus College,0
CSUS,Cuyamaca College,4
CSUS,Mendocino College,6
CSUS,San Diego Mesa College,5
CSUS,College of the Siskiyous,4
CSUS,El Camino College,3
CSUS,Cerritos College,3
CSUS,Coastline Community College,0
CSUS,Grossmont College,4
CSUS,Imperial Valley College,1
CSUS,MiraCosta College,4
CSUS,San Joaquin Delta College,9
CSUS,Allan Hancock College,6
CSUS,College of Alameda,4
CSUS,Copper Mountain College,0
CSUS,De Anza College,8
CSUS,Diablo Valley College,8
CSUS,East Los Angeles College,1
CSUS,Taft College,3
CSUS,Antelope Valley College,1
CSUS,Feather River College,2
CSUS,Hartnell College,6
CSUS,Irvine Valley College,4
CSUS,Porterville College,3
CSUS,Sacramento City College,8
CSUS,Skyline College,4
CSUS,Los Angeles Southwest College,0
CSUS,San Bernardino Valley College,2
CSUS,Monterey Peninsula College,7
CSUS,Fullerton College,4
CSUS,Long Beach City College,3
CSUS,San Jose City College,4
CSUS,Santa Monica College,4
CSUS,Southwestern College,4
CSUS,Moorpark College,7
CSUS,College of the Canyons,0
CSUS,Cosumnes River College,8
CSUS,Folsom Lake College,8
CSUS,West Hills College Lemoore,1
CSUS,Woodland Community College,4
CSUS,Norco College,3
CSUS,Moreno Valley College,1
CSUS,Clovis Community College,0
CSUS,Compton College,3
SFSU,Evergreen Valley College,10
SFSU,Los Angeles City College,8
SFSU,College of Marin,9
SFSU,College of San Mateo,10
SFSU,College of the Sequoias,8
SFSU,Butte College,6
SFSU,Cerro Coso Community College,8
SFSU,Columbia College,7
SFSU,Merritt College,6
SFSU,Santa Ana College,8
SFSU,Cuesta College,6
SFSU,Merced College,10
SFSU,Las Positas College,9
SFSU,Victor Valley College,9
SFSU,Barstow Community College,8
SFSU,Los Angeles Trade Technical College,7
SFSU,American River College,9
SFSU,Contra Costa College,9
SFSU,College of the Desert,6
SFSU,Los Angeles Harbor College,8
SFSU,Mission College,10
SFSU,City College of San Francisco,10
SFSU,Compton College,7
SFSU,Fresno City College,8
SFSU,Reedley College,8
SFSU,Shasta College,8
SFSU,Lake Tahoe Community College,7
SFSU,Cabrillo College,9
SFSU,Glendale Community College,7
SFSU,Los Angeles Valley College,8
SFSU,San Diego Miramar College,9
SFSU,Ohlone College,9
SFSU,Pasadena City College,8
SFSU,Foothill College,10
SFSU,Modesto Junior College,9
SFSU,Mt. San Jacinto College,8
SFSU,San Diego City College,8
SFSU,Golden West College,8
SFSU,Palomar College,9
SFSU,Santa Rosa Junior College,10
SFSU,Berkeley City College,10
SFSU,Los Medanos College,10
SFSU,Mount San Antonio College,9
SFSU,Palo Verde College,1
SFSU,Rio Hondo College,4
SFSU,Saddleback College,8
SFSU,Santiago Canyon College,9
SFSU,West Hills College Coalinga,5
SFSU,Canada College,10
SFSU,Chaffey College,6
SFSU,Crafton Hills College,10
SFSU,Cypress College,8
SFSU,Gavilan College,8
SFSU,Napa Valley College,6
SFSU,Orange Coast College,9
SFSU,Laney College,10
SFSU,Riverside City College,9
SFSU,West Valley College,9
SFSU,Lassen Community College,2
SFSU,College of the Redwoods,7
SFSU,Bakersfield College,6
SFSU,Los Angeles Pierce College,9
SFSU,Oxnard College,4
SFSU,Yuba College,8
SFSU,West Los Angeles College,8
SFSU,Santa Barbara City College,10
SFSU,Sierra College,9
SFSU,Solano Community College,9
SFSU,Ventura College,8
SFSU,Chabot College,9
SFSU,Citrus College,8
SFSU,Cuyamaca College,10
SFSU,Mendocino College,6
SFSU,San Diego Mesa College,8
SFSU,College of the Siskiyous,9
SFSU,El Camino College,7
SFSU,Cerritos College,9
SFSU,Coastline Community College,6
SFSU,Grossmont College,9
SFSU,Imperial Valley College,8
Humboldt,Evergreen Valley College,5
Humboldt,Los Angeles City College,6
Humboldt,College of Marin,3
Humboldt,College of San Mateo,5
Humboldt,College of the Sequoias,4
Humboldt,Butte College,6
Humboldt,Cerro Coso Community College,4
Humboldt,Columbia College,4
Humboldt,Merritt College,2
Humboldt,Santa Ana College,6
Humboldt,Cuesta College,5
Humboldt,Merced College,5
Humboldt,Las Positas College,3
Humboldt,Victor Valley College,4
Humboldt,Barstow Community College,3
Humboldt,Los Angeles Trade Technical College,2
Humboldt,American River College,6
Humboldt,Contra Costa College,3
Humboldt,College of the Desert,5
Humboldt,Los Angeles Harbor College,4
Humboldt,Mission College,3
Humboldt,City College of San Francisco,7
Humboldt,Fresno City College,5
Humboldt,Reedley College,6
Humboldt,Shasta College,5
Humboldt,Lake Tahoe Community College,4
Humboldt,Cabrillo College,7
Humboldt,Glendale Community College,6
Humboldt,Los Angeles Valley College,2
Humboldt,San Diego Miramar College,3
Humboldt,Los Angeles Mission College,2
Humboldt,Ohlone College,6
Humboldt,Pasadena City College,6
Humboldt,Foothill College,6
Humboldt,Modesto Junior College,5
Humboldt,Mt. San Jacinto College,5
Humboldt,San Diego City College,3
Humboldt,Golden West College,5
Humboldt,Palomar College,6
Humboldt,Santa Rosa Junior College,6
Humboldt,Berkeley City College,3
Humboldt,Los Medanos College,5
Humboldt,Mount San Antonio College,3
Humboldt,Palo Verde College,2
Humboldt,Rio Hondo College,2
Humboldt,Saddleback College,4
Humboldt,Santiago Canyon College,4
Humboldt,West Hills College Coalinga,2
Humboldt,Canada College,4
Humboldt,Chaffey College,4
Humboldt,Crafton Hills College,4
Humboldt,Cypress College,2
Humboldt,Gavilan College,4
Humboldt,Napa Valley College,4
Humboldt,Orange Coast College,6
Humboldt,Laney College,5
Humboldt,Riverside City College,5
Humboldt,West Valley College,5
Humboldt,Lassen Community College,2
Humboldt,College of the Redwoods,4
Humboldt,Bakersfield College,4
Humboldt,Los Angeles Pierce College,3
Humboldt,Oxnard College,2
Humboldt,Yuba College,6
Humboldt,West Los Angeles College,4
Humboldt,Santa Barbara City College,6
Humboldt,Sierra College,6
Humboldt,Solano Community College,5
Humboldt,Ventura College,7
Humboldt,Chabot College,5
Humboldt,Citrus College,4
Humboldt,Cuyamaca College,6
Humboldt,Mendocino College,6
Humboldt,San Diego Mesa College,3
Humboldt,College of the Siskiyous,5
Humboldt,El Camino College,6
Humboldt,Cerritos College,5
Humboldt,Coastline Community College,2
Humboldt,Grossmont College,6
Humboldt,Imperial Valley College,5
Humboldt,MiraCosta College,6
Humboldt,San Joaquin Delta College,5
Humboldt,Allan Hancock College,5
Humboldt,College of Alameda,3
Humboldt,Copper Mountain College,5
Humboldt,De Anza College,5
Humboldt,Diablo Valley College,7
Humboldt,East Los Angeles College,5
Humboldt,Taft College,2
Humboldt,Antelope Valley College,5
Humboldt,Feather River College,4
Humboldt,Hartnell College,6
Humboldt,Irvine Valley College,4
Humboldt,Porterville College,2
Humboldt,Sacramento City College,6
Humboldt,Skyline College,5
Humboldt,Los Angeles Southwest College,2
Humboldt,San Bernardino Valley College,2
Humboldt,Monterey Peninsula College,5
Humboldt,Fullerton College,3
Humboldt,Long Beach City College,5
Humboldt,San Jose City College,3
Humboldt,Santa Monica College,7
Humboldt,Southwestern College,6
Humboldt,Moorpark College,5
Humboldt,College of the Canyons,4
Humboldt,Cosumnes River College,6
Humboldt,Folsom Lake College,6
Humboldt,West Hills College Lemoore,2
Humboldt,Woodland Community College,2
Humboldt,Norco College,3
Humboldt,Moreno Valley College,5
Humboldt,Clovis Community College,4
Humboldt,Compton College,3
CSUFresno,Evergreen Valley College,6
CSUFresno,Los Angeles City College,6
CSUFresno,College of San Mateo,6
CSUFresno,College of the Sequoias,7
CSUFresno,Butte College,6
CSUFresno,Cerro Coso Community College,4
CSUFresno,Columbia College,5
CSUFresno,Merritt College,5
CSUFresno,Cuesta College,6
CSUFresno,Merced College,6
CSUFresno,Las Positas College,6
CSUFresno,Los Angeles Trade Technical College,3
CSUFresno,American River College,6
CSUFresno,Contra Costa College,5
CSUFresno,Los Angeles Harbor College,6
CSUFresno,Mission College,4
CSUFresno,Fresno City College,6
CSUFresno,Reedley College,6
CSUFresno,Shasta College,6
CSULB,Evergreen Valley College,5
CSULB,Los Angeles City College,5
CSULB,College of Marin,2
CSULB,College of San Mateo,4
CSULB,College of the Sequoias,5
CSULB,Butte College,7
CSULB,Cerro Coso Community College,4
CSULB,Columbia College,4
CSULB,Merritt College,2
CSULB,Santa Ana College,9
CSULB,Cuesta College,6
CSULB,Merced College,4
CSULB,Las Positas College,6
CSULB,Victor Valley College,2
CSULB,Barstow Community College,4
CSULB,Los Angeles Trade Technical College,5
CSULB,American River College,7
CSULB,Contra Costa College,6
CSULB,College of the Desert,2
CSULB,Los Angeles Harbor College,5
CSULB,Mission College,3
CSULB,City College of San Francisco,5
CSULB,Compton Community College,3
CSULB,Fresno City College,7
CSULB,Reedley College,7
CSULB,Shasta College,3
CSULB,Lake Tahoe Community College,5
CSULB,Cabrillo College,7
CSULB,Glendale Community College,5
CSULB,Los Angeles Valley College,3
CSULB,San Diego Miramar College,4
CSULB,Los Angeles Mission College,5
CSULB,Ohlone College,7
CSULB,Pasadena City College,6
CSULB,Foothill College,6
CSULB,Modesto Junior College,4
CSULB,Mt. San Jacinto College,3
CSULB,San Diego City College,5
CSULB,Golden West College,8
CSULB,Palomar College,5
CSULB,Santa Rosa Junior College,6
CSULB,Vista Community College,3
CSULB,Berkeley City College,3
CSULB,Los Medanos College,7
CSULB,Mount San Antonio College,5
CSULB,Palo Verde College,0
CSULB,Rio Hondo College,10
CSULB,Saddleback College,5
CSULB,Santiago Canyon College,5
CSULB,West Hills College Coalinga,2
CSULB,Canada College,6
CSULB,Chaffey College,5
CSULB,Crafton Hills College,6
CSULB,Cypress College,7
CSULB,Gavilan College,6
CSULB,Napa Valley College,4
CSULB,Orange Coast College,8
CSULB,Laney College,5
CSULB,Riverside City College,5
CSULB,West Valley College,5
CSULB,Lassen Community College,2
CSULB,College of the Redwoods,3
CSULB,Bakersfield College,4
CSULB,Los Angeles Pierce College,3
CSULB,Oxnard College,3
CSULB,Yuba College,5
CSULB,West Los Angeles College,4
CSULB,Santa Barbara City College,4
CSULB,Sierra College,1
CSULB,Solano Community College,7
CSULB,Ventura College,6
CSULB,Chabot College,5
CSULB,Citrus College,4
CSULB,Cuyamaca College,7
CSULB,Mendocino College,6
CSULB,San Diego Mesa College,5
CSULB,College of the Siskiyous,3
CSULB,El Camino College,7
CSULB,Cerritos College,9
CSULB,Coastline Community College,4
CSULB,Grossmont College,5
CSULB,Imperial Valley College,4
CSULB,MiraCosta College,6
CSULB,San Joaquin Delta College,6
CSULB,Allan Hancock College,6
CSULB,College of Alameda,2
CSULB,Copper Mountain College,5
CSULB,De Anza College,8
CSULB,Diablo Valley College,6
CSULB,East Los Angeles College,7
CSULB,Taft College,2
CSULB,Antelope Valley College,7
CSULB,Feather River College,3
CSULB,Hartnell College,5
CSULB,Irvine Valley College,6
CSULB,Porterville College,2
CSULB,Sacramento City College,6
CSULB,Skyline College,9
CSULB,Los Angeles Southwest College,5
CSULB,San Bernardino Valley College,6
CSULB,Monterey Peninsula College,5
CSULB,Fullerton College,7
CSULB,Long Beach City College,7
CSULB,San Jose City College,7
CSULB,Santa Monica College,8
CSULB,Southwestern College,7
CSULB,Moorpark College,6
CSULB,College of the Canyons,4
CSULB,Cosumnes River College,7
CSULB,Folsom Lake College,5
CSULB,West Hills College Lemoore,2
CSULB,Woodland Community College,3
CSULB,Norco College,7
CSULB,Moreno Valley College,4
CSULB,Clovis Community College,6
CSULB,Compton College,3
CSUCI,Evergreen Valley College,9
CSUCI,Los Angeles City College,7
CSUCI,College of Marin,7
CSUCI,College of San Mateo,8
CSUCI,College of the Sequoias,8
CSUCI,Butte College,7
CSUCI,Cerro Coso Community College,7
CSUCI,Columbia College,6
CSUCI,Merritt College,7
CSUCI,Rancho Santiago College,6
CSUCI,Santa Ana College,6
CSUCI,Cuesta College,7
CSUCI,Merced College,8
CSUCI,Las Positas College,8
CSUCI,Victor Valley College,7
CSUCI,Barstow Community College,5
CSUCI,Los Angeles Trade Technical College,6
CSUCI,American River College,8
CSUCI,Contra Costa College,8
CSUCI,College of the Desert,8
CSUCI,Los Angeles Harbor College,8
CSUCI,Mission College,6
CSUCI,City College of San Francisco,8
CSUCI,Compton Community College,5
CSUCI,Fresno City College,8
CSUCI,Kings River College,7
CSUCI,Reedley College,7
CSUCI,Shasta College,8
CSUCI,Lake Tahoe Community College,4
CSUCI,Cabrillo College,8
CSUCI,Glendale Community College,9
CSUCI,Los Angeles Valley College,7
CSUCI,San Diego Miramar College,8
CSUCI,Los Angeles Mission College,8
CSUCI,Ohlone College,8
CSUCI,Pasadena City College,8
CSUCI,Foothill College,8
CSUCI,Modesto Junior College,8
CSUCI,Mt. San Jacinto College,8
CSUCI,San Diego City College,6
CSUCI,Golden West College,8
CSUCI,Palomar College,8
CSUCI,Santa Rosa Junior College,6
CSUCI,Vista Community College,7
CSUCI,Berkeley City College,7
CSUCI,Los Medanos College,7
CSUCI,Mount San Antonio College,8
CSUCI,Palo Verde College,2
CSUCI,Rio Hondo College,7
CSUCI,Saddleback College,8
CSUCI,Santiago Canyon College,7
CSUCI,West Hills College Coalinga,4
CSUCI,Canada College,8
CSUCI,Chaffey College,7
CSUCI,Crafton Hills College,7
CSUCI,Cypress College,5
CSUCI,Gavilan College,7
CSUCI,Napa Valley College,7
CSUCI,Orange Coast College,9
CSUCI,Laney College,7
CSUCI,Riverside City College,7
CSUCI,West Valley College,6
CSUCI,Lassen Community College,3
CSUCI,College of the Redwoods,6
CSUCI,Bakersfield College,7
CSUCI,Los Angeles Pierce College,9
CSUCI,Oxnard College,5
CSUCI,Yuba College,8
CSUCI,West Los Angeles College,8
CSUCI,Santa Barbara City College,8
CSUCI,Sierra College,6
CSUCI,Solano Community College,7
CSUCI,Ventura College,8
CSUCI,Chabot College,8
CSUCI,Citrus College,7
CSUCI,Cuyamaca College,8
CSUCI,Mendocino College,8
CSUCI,San Diego Mesa College,8
CSUCI,College of the Siskiyous,8
CSUCI,El Camino College,7
CSUCI,Cerritos College,6
CSUCI,Coastline Community College,4
CSUCI,Grossmont College,8
CSUCI,Imperial Valley College,6
CSUCI,MiraCosta College,8
CSUCI,San Joaquin Delta College,7
CSUCI,Allan Hancock College,7
CSUCI,College of Alameda,6
CSUCI,Copper Mountain College,7
CSUCI,De Anza College,7
CSUCI,Diablo Valley College,8
CSUCI,East Los Angeles College,8
CSUCI,Taft College,5
CSUCI,Antelope Valley College,8
CSUCI,Feather River College,4
CSUCI,Hartnell College,8
CSUCI,Irvine Valley College,7
CSUCI,Porterville College,4
CSUCI,Sacramento City College,8
CSUCI,Skyline College,8
CSUCI,Los Angeles Southwest College,7
CSUCI,San Bernardino Valley College,8
CSUCI,Monterey Peninsula College,8
CSUCI,Fullerton College,7
CSUCI,Long Beach City College,6
CSUCI,San Jose City College,8
CSUCI,Santa Monica College,8
CSUCI,Southwestern College,8
CSUCI,Moorpark College,8
CSUCI,College of the Canyons,9
CSUCI,Cosumnes River College,8
CSUCI,Folsom Lake College,8
CSUCI,West Hills College Lemoore,5
CSUCI,Woodland Community College,5
CSUCI,Norco College,7
CSUCI,Moreno Valley College,7
CSUCI,Clovis Community College,7
CSUCI,Compton College,5
CPP,Evergreen Valley College,5
CPP,Los Angeles City College,9
CPP,College of Marin,4
CPP,College of San Mateo,7
CPP,College of the Sequoias,6
CPP,Butte College,6
CPP,Cerro Coso Community College,8
CPP,Columbia College,5
CPP,Merritt College,7
CPP,Rancho Santiago College,10
CPP,Santa Ana College,10
CPP,Cuesta College,7
CPP,Merced College,6
CPP,Las Positas College,5
CPP,Victor Valley College,7
